file,score,decision,reason
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0014.wav,,OTHER,too_short(1.20s)
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0015.wav,,OTHER,too_short(1.23s)
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0016.wav,,OTHER,too_short(1.07s)
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0017.wav,,OTHER,too_short(0.86s)
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0018.wav,,OTHER,too_short(1.10s)
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0019.wav,,OTHER,too_short(1.14s)
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0020.wav,,OTHER,too_short(0.69s)
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0021.wav,,OTHER,too_short(0.78s)
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0022.wav,0.028923,OTHER,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0023.wav,0.559971,OTHER,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0024.wav,,OTHER,too_short(0.54s)
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0025.wav,0.510638,OTHER,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0026.wav,,OTHER,too_short(0.68s)
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0027.wav,0.055302,OTHER,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0028.wav,0.011428,OTHER,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0029.wav,,OTHER,too_short(0.54s)
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0030.wav,0.014945,OTHER,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0031.wav,0.604065,OTHER,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0032.wav,0.568171,OTHER,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0033.wav,0.103607,OTHER,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0034.wav,0.034193,OTHER,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0035.wav,,OTHER,too_short(1.30s)
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0036.wav,0.042946,OTHER,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0037.wav,0.012709,OTHER,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0038.wav,0.571465,OTHER,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0039.wav,,OTHER,too_short(1.13s)
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0040.wav,0.173555,OTHER,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0041.wav,0.605808,OTHER,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0042.wav,,OTHER,too_short(1.84s)
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0043.wav,0.050032,OTHER,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0044.wav,,OTHER,too_short(1.44s)
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0045.wav,0.129162,OTHER,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0046.wav,,OTHER,too_short(1.41s)
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0047.wav,,OTHER,too_short(1.93s)
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0048.wav,,OTHER,too_short(0.60s)
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0049.wav,-0.055719,OTHER,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0050.wav,,OTHER,too_short(0.90s)
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0051.wav,0.210055,OTHER,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0052.wav,,OTHER,too_short(1.54s)
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0053.wav,,OTHER,too_short(0.58s)
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0054.wav,-0.021509,OTHER,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0055.wav,,OTHER,too_short(0.94s)
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0056.wav,,OTHER,too_short(0.58s)
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0057.wav,-0.000768,OTHER,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0058.wav,,OTHER,too_short(1.18s)
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0059.wav,,OTHER,too_short(0.86s)
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0060.wav,,OTHER,too_short(0.98s)
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0061.wav,0.076524,OTHER,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0062.wav,0.477837,OTHER,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0063.wav,,OTHER,too_short(1.30s)
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0064.wav,0.551248,OTHER,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0065.wav,0.117005,OTHER,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0066.wav,,OTHER,too_short(1.30s)
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0067.wav,0.006164,OTHER,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0068.wav,0.298379,OTHER,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0069.wav,0.032816,OTHER,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0070.wav,,OTHER,too_short(1.99s)
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0071.wav,0.535467,OTHER,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0072.wav,0.177854,OTHER,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0073.wav,,OTHER,too_short(1.11s)
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0074.wav,0.002546,OTHER,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0075.wav,0.203850,OTHER,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0076.wav,,OTHER,too_short(1.04s)
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0077.wav,,OTHER,too_short(0.81s)
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0078.wav,-0.018110,OTHER,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0079.wav,,OTHER,too_short(1.15s)
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0080.wav,0.073569,OTHER,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0081.wav,0.109504,OTHER,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0082.wav,,OTHER,too_short(1.30s)
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0083.wav,0.125233,OTHER,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0084.wav,,OTHER,too_short(1.30s)
